,text,label,label_0,label_1,label_2
101,PersonX adds ___ to PersonX's collection,"[0, 1, 1]",0,1,1
102,PersonX adds ___ to injury,"[0, 0, 1]",0,0,1
103,PersonX adds ___ to the flame,"[0, 1, 1]",0,1,1
104,PersonX adds ___ to the flames,"[0, 1, 1]",0,1,1
105,PersonX adds ___ to the list,"[0, 1, 1]",0,1,1
106,PersonX adds another ___,"[0, 1, 1]",0,1,1
107,PersonX adds butter,"[0, 1, 1]",0,1,1
108,PersonX adds fuel to the fire,"[0, 1, 1]",0,1,1
109,PersonX adds insult to injury,"[0, 1, 1]",0,1,1
110,PersonX adds oil,"[0, 1, 1]",0,1,1
111,PersonX adds salt,"[0, 1, 1]",0,1,1
112,PersonX adds to PersonX's collection,"[0, 1, 1]",0,1,1
113,PersonX adds to PersonX's knowledge,"[0, 1, 1]",0,1,1
114,PersonX adds together the ___,"[0, 1, 1]",0,1,1
115,PersonX adds water,"[0, 1, 1]",0,1,1
116,PersonX adjusts PersonY's glasses,"[0, 1, 1]",0,1,1
117,PersonX administers the lord 's ___,"[0, 0, 1]",0,0,1
118,PersonX admires PersonY's work,"[0, 1, 1]",0,1,1
119,PersonX admits PersonY was wrong,"[0, 1, 1]",0,1,1
120,PersonX adopts PersonY approach,"[0, 1, 1]",0,1,1
121,PersonX adopts PersonY policy,"[0, 1, 1]",0,1,1
122,PersonX adopts a baby,"[0, 1, 1]",0,1,1
123,PersonX adopts a child,"[0, 1, 1]",0,1,1
124,PersonX adopts a dog,"[0, 1, 1]",0,1,1
125,PersonX adopts a kitten,"[0, 1, 1]",0,1,1
126,PersonX adopts a new cat,"[0, 1, 1]",0,1,1
127,PersonX adopts a pet,"[0, 1, 1]",0,1,1
128,PersonX adopts a puppy,"[0, 1, 1]",0,1,1
129,PersonX adopts another ___,"[0, 1, 1]",0,1,1
130,PersonX adopts one,"[0, 1, 1]",0,1,1
131,PersonX adopts the cat,"[0, 1, 1]",0,1,1
132,PersonX adopts the dog,"[0, 1, 1]",0,1,1
133,PersonX adopts the kitten,"[0, 1, 1]",0,1,1
134,PersonX adopts the puppy,"[0, 1, 1]",0,1,1
135,PersonX advances PersonX's interests,"[0, 1, 1]",0,1,1
136,PersonX advances toward PersonY,"[0, 1, 1]",0,1,1
137,PersonX advances towards PersonY,"[0, 1, 1]",0,1,1
138,PersonX advances upon PersonY,"[0, 1, 1]",0,1,1
139,PersonX advises the ___ on all matters,"[0, 0, 1]",0,0,1
140,PersonX advises the ___ on matters,"[0, 1, 1]",0,1,1
141,PersonX affects PersonX's health,"[0, 1, 1]",0,1,1
142,PersonX affects PersonX's life,"[0, 1, 1]",0,1,1
143,PersonX affects PersonY's ability,"[0, 1, 1]",0,1,1
144,PersonX affects PersonY's health,"[0, 1, 1]",0,1,1
145,PersonX affects PersonY's life,"[0, 1, 1]",0,1,1
146,PersonX affects ___ adversely,"[0, 0, 1]",0,0,1
147,PersonX affects ___ in ways,"[0, 0, 1]",0,0,1
148,PersonX affects a person 's ___,"[0, 1, 1]",0,1,1
149,PersonX affects adversely the ___,"[0, 0, 1]",0,0,1
150,PersonX affects one 's ___,"[0, 0, 1]",0,0,1
151,PersonX affects people 's ___,"[0, 0, 1]",0,0,1
152,PersonX affords PersonX's rent,"[0, 1, 1]",0,1,1
153,PersonX affords PersonY the opportunity,"[0, 1, 1]",0,1,1
154,PersonX affords a car,"[0, 1, 1]",0,1,1
155,PersonX affords anything,"[0, 0, 1]",0,0,1
156,PersonX affords braces,"[0, 1, 1]",0,1,1
157,PersonX affords one,"[0, 0, 1]",0,0,1
158,PersonX affords to buy one,"[0, 1, 1]",0,1,1
159,PersonX affords to fix it,"[0, 1, 1]",0,1,1
160,PersonX agrees and went,"[0, 1, 1]",0,1,1
161,PersonX agrees to go,"[0, 1, 1]",0,1,1
162,PersonX agrees to go with PersonY,"[0, 1, 1]",0,1,1
163,PersonX agrees to help PersonY,"[0, 1, 1]",0,1,1
164,PersonX agrees to take PersonY,"[0, 1, 1]",0,1,1
165,PersonX agrees to the date,"[0, 1, 1]",0,1,1
166,PersonX agrees to try it,"[0, 1, 1]",0,1,1
167,PersonX agrees upon by the parties,"[0, 1, 1]",0,1,1
168,PersonX aims PersonX's gun,"[0, 1, 1]",0,1,1
169,PersonX airs PersonX's dirty laundry in public,"[0, 1, 1]",0,1,1
170,PersonX allays PersonX's fears,"[0, 1, 1]",0,1,1
171,PersonX allays PersonY's fears,"[0, 1, 1]",0,1,1
172,PersonX allergic to peanuts,"[0, 1, 1]",0,1,1
173,PersonX allows PersonY access,"[0, 1, 1]",0,1,1
174,PersonX allows PersonY time,"[0, 1, 1]",0,1,1
175,PersonX allows PersonY to keep the dog,"[0, 1, 1]",0,1,1
176,PersonX allows pets,"[0, 1, 1]",0,1,1
177,PersonX almost gave,"[0, 1, 1]",0,1,1
178,PersonX almost gave up,"[0, 1, 1]",0,1,1
179,PersonX almost hit,"[0, 1, 1]",0,1,1
180,PersonX almost hit PersonY,"[0, 1, 1]",0,1,1
181,PersonX almost hit ___,"[0, 1, 1]",0,1,1
182,PersonX almost lost,"[0, 1, 1]",0,1,1
183,PersonX almost lost ___,"[0, 1, 1]",0,1,1
184,PersonX almost ran,"[0, 1, 1]",0,1,1
185,PersonX also asked,"[0, 1, 1]",0,1,1
186,PersonX also asked PersonY,"[0, 1, 1]",0,1,1
187,PersonX also asked ___,"[0, 1, 1]",0,1,1
188,PersonX also ate ___,"[0, 1, 1]",0,1,1
189,PersonX also bought,"[0, 1, 1]",0,1,1
190,PersonX also bought ___,"[0, 1, 1]",0,1,1
191,PersonX also enjoyed ___,"[0, 1, 1]",0,1,1
192,PersonX also found ___,"[0, 1, 1]",0,1,1
193,PersonX also gave,"[0, 1, 1]",0,1,1
194,PersonX also gave PersonY,"[0, 1, 1]",0,1,1
195,PersonX also gave PersonY ___,"[0, 1, 1]",0,1,1
196,PersonX also gave ___,"[0, 1, 1]",0,1,1
197,PersonX also got,"[0, 0, 1]",0,0,1
198,PersonX also got ___,"[0, 1, 1]",0,1,1
199,PersonX also grabbed,"[0, 1, 1]",0,1,1
200,PersonX also grabbed ___,"[0, 1, 1]",0,1,1
201,PersonX also helped,"[0, 1, 1]",0,1,1
202,PersonX also kept,"[0, 1, 1]",0,1,1
203,PersonX also knew,"[0, 1, 1]",0,1,1
204,PersonX also noticed,"[0, 1, 1]",0,1,1
205,PersonX also picked,"[0, 1, 1]",0,1,1
206,PersonX also played,"[0, 1, 1]",0,1,1
207,PersonX also played ___,"[0, 1, 1]",0,1,1
208,PersonX also read,"[0, 1, 1]",0,1,1
209,PersonX also said,"[0, 0, 1]",0,0,1
210,PersonX also set,"[0, 0, 1]",0,0,1
211,PersonX also spent ___,"[0, 1, 1]",0,1,1
212,PersonX also told PersonY,"[0, 1, 1]",0,1,1
213,PersonX also told ___,"[0, 0, 1]",0,0,1
214,PersonX also took PersonY,"[0, 1, 1]",0,1,1
215,PersonX also took ___,"[0, 1, 1]",0,1,1
216,PersonX also tried,"[0, 1, 1]",0,1,1
217,PersonX also turned,"[0, 1, 1]",0,1,1
218,PersonX also wanted ___,"[0, 1, 1]",0,1,1
219,PersonX also watched,"[0, 1, 1]",0,1,1
220,PersonX also watched ___,"[0, 1, 1]",0,1,1
221,PersonX always beats,"[0, 0, 1]",0,0,1
222,PersonX always beats ___,"[0, 1, 1]",0,1,1
223,PersonX always bought ___,"[0, 1, 1]",0,1,1
224,PersonX always buy,"[0, 0, 1]",0,0,1
225,PersonX always buy ___,"[0, 1, 1]",0,1,1
226,PersonX always drank,"[0, 0, 1]",0,0,1
227,PersonX always drank ___,"[0, 1, 1]",0,1,1
228,PersonX always enjoyed ___,"[0, 1, 1]",0,1,1
229,PersonX always failed,"[0, 1, 1]",0,1,1
230,PersonX always felt,"[0, 0, 1]",0,0,1
231,PersonX always felt ___,"[0, 0, 1]",0,0,1
232,PersonX always followed ___,"[0, 1, 1]",0,1,1
233,PersonX always forgot,"[0, 1, 1]",0,1,1
234,PersonX always found ___,"[0, 0, 1]",0,0,1
235,PersonX always gave,"[0, 1, 1]",0,1,1
236,PersonX always gave ___,"[0, 1, 1]",0,1,1
237,PersonX always gets,"[0, 0, 1]",0,0,1
238,PersonX always got ___,"[0, 1, 1]",0,1,1
239,PersonX always hated ___,"[0, 1, 1]",0,1,1
240,PersonX always kept ___,"[0, 1, 1]",0,1,1
241,PersonX always left,"[0, 0, 1]",0,0,1
242,PersonX always left ___,"[0, 1, 1]",0,1,1
243,PersonX always liked,"[0, 0, 1]",0,0,1
244,PersonX always liked ___,"[0, 0, 1]",0,0,1
245,PersonX always listened,"[0, 1, 1]",0,1,1
246,PersonX always looked,"[0, 0, 1]",0,0,1
247,PersonX always looked forward,"[0, 1, 1]",0,1,1
248,PersonX always played,"[0, 1, 1]",0,1,1
249,PersonX always ran,"[0, 1, 1]",0,1,1
250,PersonX always slept,"[0, 1, 1]",0,1,1
251,PersonX always stayed,"[0, 1, 1]",0,1,1
252,PersonX always struggled,"[0, 1, 1]",0,1,1
253,PersonX always thought,"[0, 0, 1]",0,0,1
254,PersonX always thought ___,"[0, 0, 1]",0,0,1
255,PersonX always told,"[0, 0, 1]",0,0,1
256,PersonX always told PersonY,"[0, 1, 1]",0,1,1
257,PersonX always told ___,"[0, 0, 1]",0,0,1
258,PersonX always took,"[0, 0, 1]",0,0,1
259,PersonX always took ___,"[0, 1, 1]",0,1,1
260,PersonX always tried,"[0, 1, 1]",0,1,1
261,PersonX always try,"[0, 1, 1]",0,1,1
262,PersonX always walked,"[0, 1, 1]",0,1,1
263,PersonX always walked ___,"[0, 0, 1]",0,0,1
264,PersonX always wanted ___,"[0, 0, 1]",0,0,1
265,PersonX always wanted a dog,"[0, 1, 1]",0,1,1
266,PersonX always wanted a kitten,"[0, 1, 1]",0,1,1
267,PersonX always wanted a puppy,"[0, 1, 1]",0,1,1
268,PersonX always wanted to go to,"[0, 1, 1]",0,1,1
269,PersonX always wants,"[0, 1, 1]",0,1,1
270,PersonX always watched,"[0, 1, 1]",0,1,1
271,PersonX always watched ___,"[0, 0, 1]",0,0,1
272,PersonX always wear,"[0, 0, 1]",0,0,1
273,PersonX always wear ___,"[0, 1, 1]",0,1,1
274,PersonX always wears ___,"[0, 1, 1]",0,1,1
275,PersonX always went,"[0, 1, 1]",0,1,1
276,PersonX always wished,"[0, 1, 1]",0,1,1
277,PersonX always wondered,"[0, 1, 1]",0,1,1
278,PersonX amends the ___ by adding,"[0, 1, 1]",0,1,1
279,PersonX analyzes ___ in terms,"[0, 1, 1]",0,1,1
280,PersonX analyzes the ___ in terms,"[0, 1, 1]",0,1,1
281,PersonX announces PersonX's intention,"[0, 1, 1]",0,1,1
282,PersonX announces PersonY's arrival,"[0, 1, 1]",0,1,1
283,PersonX announces PersonY's intention,"[0, 1, 1]",0,1,1
284,PersonX announces the winner,"[0, 1, 1]",0,1,1
285,PersonX announces the winners,"[0, 1, 1]",0,1,1
286,PersonX announces to everyone,"[0, 1, 1]",0,1,1
287,PersonX anoints PersonY with oil,"[0, 0, 1]",0,0,1
288,PersonX answers PersonY questions,"[0, 1, 1]",0,1,1
289,PersonX answers PersonY's ___ well,"[0, 1, 1]",0,1,1
290,PersonX answers PersonY's phone,"[0, 1, 1]",0,1,1
291,PersonX answers PersonY's questions,"[0, 1, 1]",0,1,1
292,PersonX answers ___ correctly,"[0, 0, 1]",0,0,1
293,PersonX answers all the questions,"[0, 1, 1]",0,1,1
294,PersonX answers every ___,"[0, 1, 1]",0,1,1
295,PersonX answers every question,"[0, 1, 1]",0,1,1
296,PersonX answers questions,"[0, 1, 1]",0,1,1
297,PersonX answers the ___ correctly,"[0, 0, 1]",0,0,1
298,PersonX answers the ___ first,"[0, 1, 1]",0,1,1
299,PersonX answers the ___ well,"[0, 1, 1]",0,1,1
300,PersonX answers the call,"[0, 1, 1]",0,1,1
301,PersonX answers the phone,"[0, 1, 1]",0,1,1
302,PersonX answers the questions,"[0, 1, 1]",0,1,1
303,PersonX answers this ___ in the affirmative,"[0, 0, 1]",0,0,1
304,PersonX anxiously awaited,"[0, 1, 1]",0,1,1
305,PersonX apologizes profusely,"[0, 0, 1]",0,0,1
306,PersonX apologizes to PersonX's boss,"[0, 1, 1]",0,1,1
307,PersonX appears on PersonY's face,"[0, 1, 1]",0,1,1
308,PersonX applies PersonX's ___ unto PersonY,"[0, 1, 1]",0,1,1
309,PersonX applies ___ to problems,"[0, 0, 1]",0,0,1
310,PersonX applies ___ to situations,"[0, 0, 1]",0,0,1
311,PersonX applies ___ to the study,"[0, 1, 1]",0,1,1
312,PersonX applies for a credit card,"[0, 1, 1]",0,1,1
313,PersonX applies for a job,"[0, 1, 1]",0,1,1
314,PersonX applies for a new job,"[0, 1, 1]",0,1,1
315,PersonX applies for college,"[0, 1, 1]",0,1,1
316,PersonX applies for food stamps,"[0, 1, 1]",0,1,1
317,PersonX applies for many jobs,"[0, 1, 1]",0,1,1
318,PersonX applies for the job,"[0, 1, 1]",0,1,1
319,PersonX applies lotion,"[0, 1, 1]",0,1,1
320,PersonX applies oneself,"[0, 1, 1]",0,1,1
321,PersonX applies the ___ to cases,"[0, 1, 1]",0,1,1
322,PersonX applies the ___ to problems,"[0, 0, 1]",0,0,1
323,PersonX applies the ___ to the study,"[0, 1, 1]",0,1,1
324,PersonX applies the dye,"[0, 1, 1]",0,1,1
325,PersonX applies to college,"[0, 1, 1]",0,1,1
326,PersonX applies to colleges,"[0, 1, 1]",0,1,1
327,PersonX applies to many jobs,"[0, 1, 1]",0,1,1
328,PersonX appreciates PersonY's effort,"[0, 1, 1]",0,1,1
329,PersonX appreciates fully the ___,"[0, 0, 1]",0,0,1
330,PersonX appreciates the effort,"[0, 1, 1]",0,1,1
331,PersonX appreciates the gesture,"[0, 1, 1]",0,1,1
332,PersonX approaches PersonX's crush,"[0, 1, 1]",0,1,1
333,PersonX approaches the ___ in a way,"[0, 1, 1]",0,1,1
334,PersonX argues PersonX's case,"[0, 1, 1]",0,1,1
335,PersonX argues PersonY's case,"[0, 1, 1]",0,1,1
336,PersonX arms to the teeth,"[0, 1, 1]",0,1,1
337,PersonX army volunteers,"[0, 1, 1]",0,1,1
338,PersonX arranges PersonY in order,"[0, 0, 1]",0,0,1
339,PersonX arranges PersonY interview,"[0, 1, 1]",0,1,1
340,PersonX arrives ___ later,"[0, 0, 1]",0,0,1
341,PersonX arrives back,"[0, 1, 1]",0,1,1
342,PersonX arrives back home,"[0, 1, 1]",0,1,1
343,PersonX arrives early,"[0, 1, 1]",0,1,1
344,PersonX arrives every ___,"[0, 0, 1]",0,0,1
345,PersonX arrives in class,"[0, 1, 1]",0,1,1
346,PersonX arrives in time,"[0, 1, 1]",0,1,1
347,PersonX arrives late,"[0, 1, 1]",0,1,1
348,PersonX arrives on time,"[0, 1, 1]",0,1,1
349,PersonX arrives quickly,"[0, 1, 1]",0,1,1
350,PersonX arrives safely,"[0, 1, 1]",0,1,1
351,PersonX arrives the next day,"[0, 1, 1]",0,1,1
352,PersonX arrives to pick PersonY up,"[0, 1, 1]",0,1,1
353,PersonX arrives to school,"[0, 1, 1]",0,1,1
354,PersonX arrives today,"[0, 1, 1]",0,1,1
355,PersonX asks PersonX's crush,"[0, 1, 1]",0,1,1
356,PersonX asks PersonX's daughter,"[0, 1, 1]",0,1,1
357,PersonX asks PersonX's family,"[0, 1, 1]",0,1,1
358,PersonX asks PersonX's friend PersonY,"[0, 1, 1]",0,1,1
359,PersonX asks PersonX's friend for advice,"[0, 1, 1]",0,1,1
360,PersonX asks PersonX's friend for help,"[0, 1, 1]",0,1,1
361,PersonX asks PersonX's friends for advice,"[0, 1, 1]",0,1,1
362,PersonX asks PersonX's friends for help,"[0, 1, 1]",0,1,1
363,PersonX asks PersonX's girlfriend,"[0, 1, 1]",0,1,1
364,PersonX asks PersonX's husband,"[0, 1, 1]",0,1,1
365,PersonX asks PersonX's kids,"[0, 1, 1]",0,1,1
366,PersonX asks PersonX's manager,"[0, 1, 1]",0,1,1
367,PersonX asks PersonX's mom for help,"[0, 1, 1]",0,1,1
368,PersonX asks PersonX's neighbor,"[0, 1, 1]",0,1,1
369,PersonX asks PersonX's neighbors,"[0, 1, 1]",0,1,1
370,PersonX asks PersonX's roommate,"[0, 1, 1]",0,1,1
371,PersonX asks PersonX's son,"[0, 1, 1]",0,1,1
372,PersonX asks PersonX's wife,"[0, 1, 1]",0,1,1
373,PersonX asks PersonY a question,"[0, 1, 1]",0,1,1
374,PersonX asks PersonY anything,"[0, 1, 1]",0,1,1
375,PersonX asks PersonY for PersonZ's number,"[0, 1, 1]",0,1,1
376,PersonX asks PersonY for a date,"[0, 1, 1]",0,1,1
377,PersonX asks PersonY for a pencil,"[0, 1, 1]",0,1,1
378,PersonX asks PersonY for help,"[0, 1, 1]",0,1,1
379,PersonX asks PersonY had happened,"[0, 1, 1]",0,1,1
380,PersonX asks PersonY if would be,"[0, 0, 1]",0,0,1
381,PersonX asks PersonY if would like,"[0, 1, 1]",0,1,1
382,PersonX asks PersonY meant,"[0, 1, 1]",0,1,1
383,PersonX asks PersonY mom,"[0, 1, 1]",0,1,1
384,PersonX asks PersonY on a date,"[0, 1, 1]",0,1,1
385,PersonX asks PersonY opinion,"[0, 1, 1]",0,1,1
386,PersonX asks PersonY out on a date,"[0, 1, 1]",0,1,1
387,PersonX asks PersonY question,"[0, 1, 1]",0,1,1
388,PersonX asks PersonY questions,"[0, 1, 1]",0,1,1
389,PersonX asks PersonY some questions,"[0, 1, 1]",0,1,1
390,PersonX asks PersonY something,"[0, 1, 1]",0,1,1
391,PersonX asks PersonY the question,"[0, 1, 1]",0,1,1
392,PersonX asks PersonY the reason,"[0, 1, 1]",0,1,1
393,PersonX asks PersonY thought,"[0, 1, 1]",0,1,1
394,PersonX asks PersonY to accept,"[0, 1, 1]",0,1,1
395,PersonX asks PersonY to accompany,"[0, 1, 1]",0,1,1
396,PersonX asks PersonY to be PersonX's wife,"[0, 1, 1]",0,1,1
397,PersonX asks PersonY to come,"[0, 1, 1]",0,1,1
398,PersonX asks PersonY to dance,"[0, 1, 1]",0,1,1
399,PersonX asks PersonY to describe,"[0, 1, 1]",0,1,1
400,PersonX asks PersonY to dine,"[0, 1, 1]",0,1,1
401,PersonX asks PersonY to dinner,"[0, 1, 1]",0,1,1
402,PersonX asks PersonY to explain,"[0, 1, 1]",0,1,1
403,PersonX asks PersonY to find,"[0, 1, 1]",0,1,1
404,PersonX asks PersonY to forgive,"[0, 1, 1]",0,1,1
405,PersonX asks PersonY to get,"[0, 1, 1]",0,1,1
406,PersonX asks PersonY to give,"[0, 1, 1]",0,1,1
407,PersonX asks PersonY to help,"[0, 1, 1]",0,1,1
408,PersonX asks PersonY to join,"[0, 1, 1]",0,1,1
409,PersonX asks PersonY to join PersonZ,"[0, 1, 1]",0,1,1
410,PersonX asks PersonY to leave,"[0, 1, 1]",0,1,1
411,PersonX asks PersonY to let,"[0, 1, 1]",0,1,1
412,PersonX asks PersonY to look,"[0, 1, 1]",0,1,1
413,PersonX asks PersonY to marry,"[0, 1, 1]",0,1,1
414,PersonX asks PersonY to marry PersonY,"[0, 1, 1]",0,1,1
415,PersonX asks PersonY to meet,"[0, 1, 1]",0,1,1
416,PersonX asks PersonY to prom,"[0, 1, 1]",0,1,1
417,PersonX asks PersonY to repeat,"[0, 1, 1]",0,1,1
418,PersonX asks PersonY to return,"[0, 1, 1]",0,1,1
419,PersonX asks PersonY to see,"[0, 1, 1]",0,1,1
420,PersonX asks PersonY to send,"[0, 1, 1]",0,1,1
421,PersonX asks PersonY to stop,"[0, 1, 1]",0,1,1
422,PersonX asks PersonY to take,"[0, 1, 1]",0,1,1
423,PersonX asks PersonY to tell,"[0, 1, 1]",0,1,1
424,PersonX asks PersonY to the dance,"[0, 1, 1]",0,1,1
425,PersonX asks PersonY to the prom,"[0, 1, 1]",0,1,1
426,PersonX asks PersonY to turn it down,"[0, 1, 1]",0,1,1
427,PersonX asks PersonY to wait,"[0, 1, 1]",0,1,1
428,PersonX asks PersonY to write,"[0, 1, 1]",0,1,1
429,PersonX asks PersonY was going,"[0, 1, 1]",0,1,1
430,PersonX asks PersonY what the problem was,"[0, 1, 1]",0,1,1
431,PersonX asks PersonY what was wrong,"[0, 1, 1]",0,1,1
432,PersonX asks PersonY where was going,"[0, 1, 1]",0,1,1
433,PersonX asks PersonY's advice,"[0, 1, 1]",0,1,1
434,PersonX asks PersonY's boss,"[0, 1, 1]",0,1,1
435,PersonX asks PersonY's brother,"[0, 1, 1]",0,1,1
436,PersonX asks PersonY's crush,"[0, 1, 1]",0,1,1
437,PersonX asks PersonY's daughter,"[0, 1, 1]",0,1,1
438,PersonX asks PersonY's family,"[0, 1, 1]",0,1,1
439,PersonX asks PersonY's father,"[0, 1, 1]",0,1,1
440,PersonX asks PersonY's forgiveness,"[0, 1, 1]",0,1,1
441,PersonX asks PersonY's friend,"[0, 1, 1]",0,1,1
442,PersonX asks PersonY's friend for advice,"[0, 1, 1]",0,1,1
443,PersonX asks PersonY's friends,"[0, 1, 1]",0,1,1
444,PersonX asks PersonY's friends for advice,"[0, 1, 1]",0,1,1
